,Player_Id,Runs,Balls_played,Strike_Rate,cluster,Player_Name,Batting_Hand,DOB,Country
0,236,924.0,760,121.58,0,Mandeep Singh,Right_Hand,18-Dec-91,India
1,71,1262.0,1032,122.29,0,DJ Bravo,Right_Hand,7-Oct-83,West Indies
2,383,942.0,762,123.62,0,LMP Simmons,Right_Hand,25-Jan-85,West Indies
3,104,1400.0,1153,121.42,0,BJ Hodge,Right_Hand,29-Dec-74,Australia
4,355,726.0,566,128.27,0,Q de Kock,Left_Hand,17-Dec-92,South Africa
5,354,725.0,592,122.47,0,KL Rahul,Right_Hand,18-Apr-92,India
6,345,728.0,580,125.52,0,M Vohra,Right_Hand,18-Jul-93,India
7,157,604.0,466,129.61,0,JD Ryder,Left_Hand,6-Aug-84,New Zealand
8,158,1001.0,758,132.06,0,KP Pietersen,Right_Hand,27-Jun-80,South Africa
9,163,692.0,564,122.7,0,MC Henriques,Right_Hand,1-Feb-87,Australia
10,62,1323.0,1025,129.07,0,WP Saha,Right_Hand,24-Oct-84,India
11,339,877.0,700,125.29,0,KK Nair,Right_Hand,6-Dec-91,India
12,191,692.0,571,121.19,0,AD Mathews,Right_Hand,2-Jun-87,Sri Lanka
13,197,663.0,552,120.11,0,GJ Bailey,Right_Hand,7-Sep-82,Australia
14,320,1480.0,1053,140.55,0,DA Miller,Left_Hand,10-Jun-89,South Africa
15,237,626.0,490,127.76,0,KM Jadhav,Right_Hand,26-Mar-85,India
16,306,1241.0,933,133.01,0,SPD Smith,Right_Hand,2-Jun-89,India
17,305,919.0,594,154.71,0,GJ Maxwell,Right_Hand,14-Oct-88,Australia
18,303,1287.0,1036,124.23,0,F du Plessis,Right_Hand,13-Jul-84,South Africa
19,254,1304.0,1080,120.74,0,AJ Finch,Right_Hand,17-Nov-86,Australia
20,255,688.0,542,126.94,0,STR Binny,Right_Hand,3-Jun-84,India
21,334,574.0,350,164.0,0,AD Russell,Right_Hand,29-Apr-88,West Indies
22,56,974.0,781,124.71,0,A Symonds,Right_Hand,9-Jun-75,Australia
23,109,975.0,712,136.94,0,JA Morkel,Left_Hand,10-Jun-81,South Africa
24,52,1017.0,847,120.07,0,LRPL Taylor,Right_Hand,8-Mar-84,New Zealand
25,50,783.0,574,136.41,0,Harbhajan Singh,Right_Hand,3-Jul-80,India
26,4,1322.0,1101,120.07,0,DJ Hussey,Right_Hand,15-Jul-77,Australia
27,10,971.0,774,125.45,0,CL White,Right_Hand,18-Aug-83,Australia
28,44,768.0,573,134.03,0,ST Jayasuriya,Left_Hand,30-Jun-69,Sri Lanka
29,18,1107.0,839,131.94,0,ML Hayden,Left_Hand,29-Oct-71,Australia
30,57,3874.0,2996,129.31,1,RG Sharma,Right_Hand,30-Apr-87,India
31,21,4106.0,3059,134.23,1,SK Raina,Left_Hand,27-Nov-86,India
32,162,3447.0,2360,146.06,1,CH Gayle,Left_Hand,21-Sep-79,West Indies
33,40,3634.0,3028,120.01,1,G Gambhir,Left_Hand,14-Oct-81,India
34,20,3270.0,2419,135.18,1,MS Dhoni,Right_Hand,7-Jul-81,India
35,110,3270.0,2231,146.57,1,AB de Villiers,Right_Hand,17-Feb-84,South Africa
36,187,3373.0,2440,138.24,1,DA Warner,Left_Hand,27-Oct-86,Australia
37,8,4105.0,3236,126.85,1,V Kohli,Right_Hand,5-Nov-88,India
38,46,3390.0,2721,124.59,1,RV Uthappa,Right_Hand,11-Nov-85,India
39,309,116.0,70,165.71,2,KK Cooper,Right_Hand,16-Feb-89,West Indies
40,285,75.0,59,127.12,2,TR Birt,Left_Hand,9-Dec-81,Australia
41,329,342.0,280,122.14,2,Gurkeerat Singh,Right_Hand,29-Jun-90,India
42,289,120.0,91,131.87,2,AC Blizzard,Left_Hand,27-Jun-84,Australia
43,325,280.0,196,142.86,2,A Ashish Reddy,Right_Hand,24-Feb-91,India
44,324,5.0,3,166.67,2,KMDN Kulasekara,Right_Hand,22-Jul-82,Sri Lanka
45,290,7.0,4,175.0,2,I Malhotra,Right_Hand,23-May-84,India
46,321,388.0,311,124.76,2,Azhar Mahmood,Right_Hand,28-Feb-75,Pakistan
47,427,157.0,122,128.69,2,HM Amla,Right_Hand,31-Mar-83,South Africa
48,312,12.0,9,133.33,2,DAJ Bracewell,Right_Hand,28-Sep-90,New Zealand
49,311,47.0,38,123.68,2,HV Patel,Right_Hand,23-Nov-90,India
50,426,127.0,105,120.95,2,UT Khawaja,Left_Hand,18-Dec-86,Australia
51,421,88.0,66,133.33,2,SW Billings,Right_Hand,15-Jun-91,England
52,308,503.0,390,128.97,2,SA Yadav,Right_Hand,14-Sep-90,India
53,322,209.0,170,122.94,2,P Negi,Left_Hand,6-Jan-93,India
54,310,473.0,346,136.71,2,JP Faulkner,Right_Hand,29-Apr-90,Australia
55,416,13.0,8,162.5,2,KJ Abbott,Right_Hand,18-Jun-87,South Africa
56,420,198.0,155,127.74,2,RR Pant,Left_Hand,4-Oct-97,India
57,403,47.0,29,162.07,2,MJ McClenaghan,Left_Hand,11-Jun-86,New Zealand
58,402,177.0,103,171.84,2,SN Khan,Right_Hand,27-Oct-97,India
59,401,127.0,94,135.11,2,D Wiese,Right_Hand,18-May-85,South Africa
60,398,48.0,33,145.45,2,J Suchith,Left_Hand,16-Jan-94,India
61,394,295.0,224,131.7,2,DJ Hooda,Right_Hand,19-Apr-95,India
62,390,16.0,13,123.08,2,R Tewatia,Left_Hand,20-May-93,India
63,385,73.0,43,169.77,2,BCJ Cutting,Right_Hand,30-Jan-87,Australia
64,408,83.0,40,207.5,2,CR Brathwaite,Right_Hand,18-Jul-88,West Indies
65,381,5.0,3,166.67,2,Shivam Sharma,Right_Hand,9-Sep-93,India
